,pitch_type,release_speed,release_pos_x,release_pos_z,pfx_x,pfx_z,vx0,vy0,ax,ay,az,effective_speed,release_spin_rate,release_extension,pitch_name
3660,FF,59.6,-1.3218,6.7462,-0.8696,1.4867,3.7525,-86.3886,-4.4869,11.2025,-25.8081,56.876,1469.0,3.712,4-Seam Fastball
3661,FF,58.6,-1.3314,6.8162,-0.7184,1.6593,0.8265,-84.8965,-3.2974,11.0855,-25.4002,55.871,1453.0,3.74,4-Seam Fastball
3662,FF,59.3,-1.1938,6.8414,-0.5633,1.6036,2.5431,-85.8903,-2.8808,10.9776,-25.6125,56.484,1458.0,3.629,4-Seam Fastball
3663,FF,61.9,-1.177,6.7956,-0.6499,1.7468,4.6621,-89.8285,-3.8743,12.019,-23.7009,59.313,1584.0,3.864,4-Seam Fastball
3664,FF,61.8,-1.2212,6.7984,-0.6558,1.5384,2.8623,-89.7157,-3.6219,11.162,-24.8161,59.197,1496.0,3.684,4-Seam Fastball
3665,FF,61.1,-1.1934,6.8193,-0.5258,1.4757,2.7675,-88.6282,-2.9099,10.8941,-25.6319,58.65,1502.0,3.852,4-Seam Fastball
3666,FF,59.3,-1.2852,6.8044,-0.747,1.5665,2.2128,-86.0137,-3.6862,10.7752,-25.4524,56.655,1495.0,3.678,4-Seam Fastball
3667,FF,59.8,-1.1752,6.8674,-0.5552,1.62,3.4619,-86.5862,-2.9938,10.9782,-25.3643,56.885,1481.0,3.539,4-Seam Fastball
3668,FF,61.0,-1.1093,6.7607,-0.6058,1.7177,2.1393,-88.5326,-3.2574,11.9008,-23.8981,58.732,1541.0,4.173,4-Seam Fastball
3669,FF,61.3,-1.0157,6.8719,-0.824,1.397,2.2024,-88.978,-4.3053,11.7555,-25.6767,58.53,1501.0,3.64,4-Seam Fastball
3670,FF,63.9,-1.1225,6.8039,-1.0123,1.3101,4.1624,-92.8051,-6.023,12.6597,-25.2487,61.585,1626.0,4.125,4-Seam Fastball
3671,FF,61.4,-1.1483,6.7378,-0.5248,1.4705,3.0613,-89.0893,-3.0038,12.3604,-25.3701,58.785,1477.0,3.919,4-Seam Fastball
3672,FF,62.0,-0.9838,6.8285,-0.6867,1.7546,5.4096,-89.9489,-4.2001,12.2432,-23.4387,59.572,1543.0,4.071,4-Seam Fastball
3673,FF,74.7,-1.0651,6.6323,-0.6513,1.6614,3.601,-108.474,-5.4333,17.9707,-19.7769,72.299,1896.0,4.454,4-Seam Fastball
3674,FF,63.4,-1.16,6.7551,-0.585,1.543,2.5831,-91.9331,-3.4164,12.8828,-24.4362,60.597,1541.0,3.811,4-Seam Fastball
3675,FF,60.1,-1.2332,6.755,-0.6631,1.5895,2.8897,-87.1055,-3.4909,11.5384,-25.2448,57.412,1509.0,3.804,4-Seam Fastball
3676,FF,62.9,-1.2228,6.7159,-0.6032,1.7151,3.232,-91.2501,-3.5748,12.5729,-23.7832,60.415,1641.0,4.048,4-Seam Fastball
3677,FF,59.7,-1.102,6.7949,-0.4399,1.6829,4.1087,-86.6143,-2.56,11.1413,-24.6439,56.986,1477.0,3.651,4-Seam Fastball
3678,FF,57.5,-1.2438,6.8263,-0.7415,1.6725,3.2734,-83.3829,-3.5783,10.5301,-25.4037,54.778,1449.0,3.605,4-Seam Fastball
3679,FF,55.5,-2.3572,6.8854,-0.6351,1.6371,2.1541,-80.3864,-2.7695,9.8161,-26.3234,52.669,1412.0,3.456,4-Seam Fastball
3680,FF,56.2,-2.3211,6.8406,-0.5918,1.7177,2.3433,-81.3841,-2.6757,9.7982,-25.7833,53.321,1455.0,3.401,4-Seam Fastball
3681,FF,51.3,-1.9397,6.9786,-0.5754,1.7588,4.0552,-74.378,-2.425,8.4642,-26.4956,48.984,1266.0,3.77,4-Seam Fastball
3682,SL,84.8,-2.1127,5.1723,-1.2881,0.6214,6.0823,-123.3519,-14.3496,22.8466,-25.4268,85.131,1808.0,6.37,Slider
3683,FT,92.4,-2.1621,5.0225,-1.3082,1.0892,11.2802,-134.0807,-18.091,27.1845,-17.9148,92.343,2416.0,6.27,2-Seam Fastball
3684,CH,83.1,-2.1833,5.1239,-1.1909,0.4664,2.0865,-121.1222,-12.204,21.4439,-27.694,83.769,1694.0,6.431,Changeup
3685,FT,92.7,-2.0337,5.1137,-1.214,1.0467,9.5324,-134.6847,-16.7358,27.7946,-18.5974,92.661,2450.0,6.24,2-Seam Fastball
3686,CH,85.2,-2.1854,5.1667,-1.3111,0.7256,5.8671,-123.863,-14.4829,22.9632,-24.2185,84.906,1727.0,5.989,Changeup
3687,FT,92.1,-1.9706,5.0051,-1.1838,1.0209,8.5814,-133.8331,-16.0392,27.2529,-19.2756,92.317,2490.0,6.369,2-Seam Fastball
3688,SL,80.9,-1.9772,5.2992,0.3913,-0.1354,4.8382,-117.7437,2.8089,19.112,-33.6635,80.515,,5.693,Slider
3689,FT,92.7,-2.0786,4.9509,-1.3106,0.9555,9.703,-134.6104,-17.8165,26.0125,-19.7962,92.666,2333.0,6.14,2-Seam Fastball
3690,FT,91.5,-2.0811,4.9302,-1.2723,0.9895,7.9369,-132.9688,-16.5622,25.8504,-19.482,91.276,2317.0,6.019,2-Seam Fastball
3691,FT,91.8,-1.9572,5.0914,-0.9899,1.0182,4.2637,-133.758,-12.804,26.8519,-19.6571,92.313,2339.0,6.369,2-Seam Fastball
3692,SL,82.7,-2.0303,5.3101,0.5161,-0.1696,1.0448,-120.4961,4.8281,19.3617,-34.2211,82.663,,5.81,Slider
3693,CH,83.8,-2.1002,5.1222,-1.2264,0.303,4.6724,-121.9821,-13.0712,22.3735,-28.6226,83.837,1676.0,6.144,Changeup
3694,FT,92.7,-2.1533,5.0129,-1.0254,1.0327,5.2059,-134.9549,-13.662,26.2243,-18.7958,93.34,2407.0,6.403,2-Seam Fastball
3695,SL,80.5,-1.9234,5.4218,0.2947,-0.2191,3.5551,-117.2181,2.0966,18.8781,-34.4709,79.945,2171.0,5.54,Slider
3696,SL,82.1,-2.0675,5.2854,0.4566,-0.1479,3.5768,-119.6122,3.7283,20.1654,-33.6494,81.812,2355.0,5.748,Slider
3697,SL,80.5,-2.0188,5.3599,0.4932,-0.2791,5.4434,-117.0153,3.4898,20.4509,-35.131,79.686,2408.0,5.62,Slider
3698,CH,84.5,-2.1336,5.106,-1.1905,0.6148,4.038,-123.1056,-12.9652,22.4248,-25.5611,85.173,1840.0,6.477,Changeup
3699,CH,84.4,-2.0006,5.2677,-1.3318,0.6517,7.9118,-122.7666,-15.0697,22.7026,-24.9873,84.937,1818.0,6.512,Changeup
3700,FT,91.2,-2.1662,5.1471,-1.2268,1.2312,5.993,-132.6501,-15.6378,27.7433,-16.9646,90.95,2454.0,6.113,2-Seam Fastball
3701,FF,61.5,-1.2019,6.8955,-0.9779,1.6956,2.3159,-89.1849,-5.0927,11.9779,-24.2407,58.634,1581.0,3.637,4-Seam Fastball
3702,FF,61.6,-1.7783,6.9073,-0.7256,1.6715,4.5803,-89.2784,-4.1515,11.5352,-24.2751,58.743,1627.0,3.604,4-Seam Fastball
3703,FF,59.1,-1.7121,6.9465,-0.8067,1.9355,4.2862,-85.6679,-4.1683,10.4278,-23.5066,56.39,1567.0,3.591,4-Seam Fastball
